gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,monthly_total_ratio
0,0,1,0,-1.2802480369298874,0,1,0,0,2,0,0,0,0,0,1,2,-1.1616939352451685,-0.9941940877241977,0,0,2.961266443172635
1,0,0,0,0.06430268518835193,1,0,0,2,0,2,0,0,0,1,0,3,-0.2608779199297493,-0.17373981825040724,0,2,-0.4548067842849408
1,0,0,0,-1.2395040756535771,1,0,0,2,2,0,0,0,0,0,1,3,-0.3639232943754246,-0.9596491092068434,1,0,1.2331992045565812
1,0,0,0,0.512486259227765,0,1,0,2,0,2,2,0,0,1,0,0,-0.747850415293989,-0.19524770717404732,0,3,-0.48088670365864183
0,0,0,0,-1.2395040756535771,1,0,1,0,0,0,0,0,0,0,1,2,0.19617817640187488,-0.94045745447498,1,0,1.1231268422440988
0,0,0,0,-0.9950403079957154,1,2,1,0,0,2,0,2,2,0,1,2,1.1584890119510036,-0.6453692184426381,1,0,-0.12255675498967254
1,0,0,1,-0.42462485012737144,1,2,1,0,2,0,0,2,0,0,1,1,0.8078023344020117,-0.14731268909089865,0,1,-0.39811169465774177
0,0,0,0,-0.9135523854430948,0,1,0,2,0,0,0,0,0,0,0,3,-1.1650179795821258,-0.8741690378436584,0,0,-0.20667861581636526
0,0,1,0,-0.18016108246950976,1,2,1,0,0,2,2,2,2,0,1,2,1.3296772953043026,0.33651554451135574,1,2,-0.4392484569133271
1,0,0,1,1.2051336009250397,1,0,0,2,2,0,0,0,0,1,0,0,-0.28747027462540753,0.5314762853391823,0,5,-0.5059339244281076
1,0,1,1,-0.791320501614164,1,0,0,2,0,0,0,0,0,0,1,3,-0.4935610235167579,-0.7481879571842651,0,1,-0.25526437351624537
1,0,0,0,-0.6690886177852331,1,0,2,1,1,1,1,1,1,2,0,1,-1.5240147679735105,-0.8631834699626608,0,1,-0.3539224263263719
